question,answer,context
Peux-tu me décrire la composition du conseil de l'établissement à la FST Tanger?,Vous demandez une description de la composition du conseil de l'établissement à la FST Tanger.,"Le conseil de l'établissement à la FST de Tanger est chargé de gérer la faculté. Il comprend des membres de droit, des représentants élus des personnels enseignants et des personnels administratifs et techniques, des représentants élus des étudiants, ainsi que des membres désignés parmi des personnalités extérieures."
Quels sont les différents groupes représentés au sein du conseil de l'établissement de la Faculté des Sciences et Techniques de Tanger?,Vous voulez savoir quels sont les différents groupes représentés au sein du conseil de l'établissement de la Faculté des Sciences et Techniques de Tanger.,"Le conseil de l'établissement à la FST de Tanger est chargé de gérer la faculté. Il comprend des membres de droit, des représentants élus des personnels enseignants et des personnels administratifs et techniques, des représentants élus des étudiants, ainsi que des membres désignés parmi des personnalités extérieures."
Je souhaite en savoir plus sur l'organe de gouvernance de la FST Tanger. Peux-tu m'expliquer comment est constitué le conseil de l'établissement et quel est son rôle?,Vous demandez des informations sur l'organe de gouvernance de la FST Tanger et souhaitez savoir comment est constitué le conseil de l'établissement ainsi que son rôle.,"Le conseil de l'établissement à la FST de Tanger est chargé de gérer la faculté. Il comprend des membres de droit, des représentants élus des personnels enseignants et des personnels administratifs et techniques, des représentants élus des étudiants, ainsi que des membres désignés parmi des personnalités extérieures."
Qui sont les membres du conseil de l'établissement à la FST de Tanger?,Vous demandez qui sont les membres du conseil de l'établissement à la FST de Tanger.,"Les membres du conseil de l'établissement à la FST de Tanger incluent le Doyen, le Vice Doyen de la Formation, le Vice Doyen de la Recherche et de la coopération, le Secrétaire Général chargé du secrétariat du conseil, les Chefs de département, ainsi que des représentants des personnels enseignants, administratifs et techniques, et des étudiants."
Quels postes occupent les membres du conseil de l'établissement à la FST de Tanger?,Vous voulez savoir quels postes occupent les membres du conseil de l'établissement à la FST de Tanger.,"Les membres du conseil de l'établissement à la FST de Tanger incluent le Doyen, le Vice Doyen de la Formation, le Vice Doyen de la Recherche et de la coopération, le Secrétaire Général chargé du secrétariat du conseil, les Chefs de département, ainsi que des représentants des personnels enseignants, administratifs et techniques, et des étudiants."
Quelles sont les positions occupées par les membres du conseil de l’établissement à la FST de Tanger?,Vous voulez savoir quelles sont les positions occupées par les membres du conseil de l’établissement à la FST de Tanger.,"Les membres du conseil de l’établissement à la FST de Tanger incluent le Doyen, le Vice Doyen de la Formation, le Vice Doyen de la Recherche et de la coopération, le Secrétaire Général chargé du secrétariat du conseil, les Chefs de département, ainsi que des représentants des personnels enseignants, administratifs et techniques, et des étudiants."
Qui sont les membres officiels du conseil de l’établissement à la FST de Tanger?,Vous demandez qui sont les membres officiels du conseil de l’établissement à la FST de Tanger.,"Les membres du conseil de l’établissement à la FST de Tanger incluent le Doyen, le Vice Doyen de la Formation, le Vice Doyen de la Recherche et de la coopération, le Secrétaire Général chargé du secrétariat du conseil, les Chefs de département, ainsi que des représentants des personnels enseignants, administratifs et techniques, et des étudiants."
Quelles sont les catégories de membres présentes au conseil de l’établissement à la FST de Tanger?,Vous voulez connaître les catégories de membres présentes au conseil de l’établissement à la FST de Tanger.,"Les membres du conseil de l’établissement à la FST de Tanger incluent le Doyen, le Vice Doyen de la Formation, le Vice Doyen de la Recherche et de la coopération, le Secrétaire Général chargé du secrétariat du conseil, les Chefs de département, ainsi que des représentants des personnels enseignants, administratifs et techniques, et des étudiants."
Quels sont les rôles des membres du conseil de l’établissement à la FST de Tanger?,Vous voulez connaître les rôles des membres du conseil de l’établissement à la FST de Tanger.,"Les membres du conseil de l’établissement à la FST de Tanger incluent le Doyen, le Vice Doyen de la Formation, le Vice Doyen de la Recherche et de la coopération, le Secrétaire Général chargé du secrétariat du conseil, les Chefs de département, ainsi que des représentants des personnels enseignants, administratifs et techniques, et des étudiants."
Quelles fonctions remplissent les membres du conseil de l’établissement à la FST de Tanger?,Vous voulez savoir quelles fonctions remplissent les membres du conseil de l’établissement à la FST de Tanger.,"Les membres du conseil de l’établissement à la FST de Tanger incluent le Doyen, le Vice Doyen de la Formation, le Vice Doyen de la Recherche et de la coopération, le Secrétaire Général chargé du secrétariat du conseil, les Chefs de département, ainsi que des représentants des personnels enseignants, administratifs et techniques, et des étudiants."
Qui sont les membres du conseil de l'établissement à la FST de Tanger?,Vous demandez qui sont les membres du conseil de l'établissement à la FST de Tanger.,"Les membres du conseil de l'établissement à la FST de Tanger incluent le Doyen, le Vice Doyen de la Formation, le Vice Doyen de la Recherche et de la coopération, le Secrétaire Général chargé du secrétariat du conseil, les Chefs de département, ainsi que des représentants des personnels enseignants, administratifs et techniques, et des étudiants."
Peux-tu me donner la composition du conseil de l'établissement de la Faculté des Sciences et Techniques de Tanger?,Vous voulez connaître la composition du conseil de l'établissement de la Faculté des Sciences et Techniques de Tanger.,"Les membres du conseil de l'établissement à la FST de Tanger incluent le Doyen, le Vice Doyen de la Formation, le Vice Doyen de la Recherche et de la coopération, le Secrétaire Général chargé du secrétariat du conseil, les Chefs de département, ainsi que des représentants des personnels enseignants, administratifs et techniques, et des étudiants."
Quelles sont les différentes parties prenantes représentées au sein du conseil de l'établissement de la FST Tanger?,Vous voulez savoir quelles sont les différentes parties prenantes représentées au sein du conseil de l'établissement de la FST Tanger.,"Les membres du conseil de l'établissement à la FST de Tanger incluent le Doyen, le Vice Doyen de la Formation, le Vice Doyen de la Recherche et de la coopération, le Secrétaire Général chargé du secrétariat du conseil, les Chefs de département, ainsi que des représentants des personnels enseignants, administratifs et techniques, et des étudiants."
Quels sont les départements à la FST de Tanger?,"Les départements à la FST de Tanger sont le Génie Informatique, le Génie Chimique, les Sciences de la Terre, le Génie Mécanique, les Sciences de la Vie, le Génie Électrique, le TEC, la Physique, et les Mathématiques.",Informations générales sur les départements de la FST de Tanger.
Peux-tu me lister les différents départements de la Faculté des Sciences et Techniques de Tanger ainsi que les noms des chefs de département?,"Les départements à la FST de Tanger sont le Génie Informatique (chef : Pr. EL BRAK Mohamed), le Génie Chimique (chef : Pr. CHABBI Mohamed), les Sciences de la Terre (chef : Pr. BOULAASSAL Hakim), le Génie Mécanique (chef : Pr. ELAYACHI Ilham), les Sciences de la Vie (chef : Pr. HASSANI ZERROUK Mounir), le Génie Électrique (chef : Pr. HADJ BARAKA Ibrahim), le TEC (chef : Pr. OUCHEN MOHAMED), la Physique (chef : Pr. AJDOUR Mounia), et les Mathématiques (chef : Pr. EL HALIMI RACHID).",Liste des départements avec les noms de leurs chefs à la FST de Tanger.
Quelles sont les entités académiques de la FST Tanger et qui sont les responsables de chaque département?,"Les départements à la FST de Tanger sont le Génie Informatique (chef : Pr. EL BRAK Mohamed), le Génie Chimique (chef : Pr. CHABBI Mohamed), les Sciences de la Terre (chef : Pr. BOULAASSAL Hakim), le Génie Mécanique (chef : Pr. ELAYACHI Ilham), les Sciences de la Vie (chef : Pr. HASSANI ZERROUK Mounir), le Génie Électrique (chef : Pr. HADJ BARAKA Ibrahim), le TEC (chef : Pr. OUCHEN MOHAMED), la Physique (chef : Pr. AJDOUR Mounia), et les Mathématiques (chef : Pr. EL HALIMI RACHID).",Information sur les départements et leurs responsables à la FST de Tanger.
Je souhaite connaître la structure départementale de la Faculté des Sciences et Techniques de Tanger ainsi que les noms des directeurs de chaque département.,"Les départements à la FST de Tanger sont le Génie Informatique (chef : Pr. EL BRAK Mohamed), le Génie Chimique (chef : Pr. CHABBI Mohamed), les Sciences de la Terre (chef : Pr. BOULAASSAL Hakim), le Génie Mécanique (chef : Pr. ELAYACHI Ilham), les Sciences de la Vie (chef : Pr. HASSANI ZERROUK Mounir), le Génie Électrique (chef : Pr. HADJ BARAKA Ibrahim), le TEC (chef : Pr. OUCHEN MOHAMED), la Physique (chef : Pr. AJDOUR Mounia), et les Mathématiques (chef : Pr. EL HALIMI RACHID).",Structure départementale de la FST de Tanger avec les noms des directeurs de chaque département.
Peux-tu me donner les noms des différents départements de la FST Tanger ainsi que les noms et prénoms de leurs chefs respectifs?,"Les départements à la FST de Tanger sont le Génie Informatique (chef : Pr. EL BRAK Mohamed), le Génie Chimique (chef : Pr. CHABBI Mohamed), les Sciences de la Terre (chef : Pr. BOULAASSAL Hakim), le Génie Mécanique (chef : Pr. ELAYACHI Ilham), les Sciences de la Vie (chef : Pr. HASSANI ZERROUK Mounir), le Génie Électrique (chef : Pr. HADJ BARAKA Ibrahim), le TEC (chef : Pr. OUCHEN MOHAMED), la Physique (chef : Pr. AJDOUR Mounia), et les Mathématiques (chef : Pr. EL HALIMI RACHID).",Départements de la FST de Tanger avec les noms complets de leurs chefs respectifs.
Qui sont les chefs des différents départements à la FST de Tanger?,"Les chefs des différents départements à la FST de Tanger sont : Pr. EL BRAK Mohamed pour le Génie Informatique, Pr. CHABBI Mohamed pour le Génie Chimique, Pr. BOULAASSAL Hakim pour les Sciences de la Terre, Pr. ELAYACHI Ilham pour le Génie Mécanique, Pr. HASSANI ZERROUK Mounir pour les Sciences de la Vie, Pr. HADJ BARAKA Ibrahim pour le Génie Électrique, Pr. OUCHEN MOHAMED pour le TEC, Pr. AJDOUR Mounia pour la Physique, et Pr. EL HALIMI RACHID pour les Mathématiques.",Information sur les chefs des différents départements à la FST de Tanger.
Quel est le chef du département Génie Informatique à la FST de Tanger?,Le chef du département Génie Informatique à la FST de Tanger est le Pr. EL BRAK Mohamed.,Chef du département Génie Informatique à la FST de Tanger.
Qui est le chef du département Génie Chimique à la FST de Tanger?,Le chef du département Génie Chimique à la FST de Tanger est le Pr. CHABBI Mohamed.,Chef du département Génie Chimique à la FST de Tanger.
Quel est le chef du département Sciences de la Terre à la FST de Tanger?,Le chef du département Sciences de la Terre à la FST de Tanger est le Pr. BOULAASSAL Hakim.,Chef du département Sciences de la Terre à la FST de Tanger.
Qui est le chef du département Génie Mécanique à la FST de Tanger?,Le chef du département Génie Mécanique à la FST de Tanger est le Pr. ELAYACHI Ilham.,Chef du département Génie Mécanique à la FST de Tanger.
Quel est le chef du département Sciences de la Vie à la FST de Tanger?,Le chef du département Sciences de la Vie à la FST de Tanger est le Pr. HASSANI ZERROUK Mounir.,Chef du département Sciences de la Vie à la FST de Tanger.
Qui est le chef du département Génie Électrique à la FST de Tanger?,Le chef du département Génie Électrique à la FST de Tanger est le Pr. HADJ BARAKA Ibrahim.,Chef du département Génie Électrique à la FST de Tanger.
Quel est le chef du département TEC à la FST de Tanger?,Le chef du département TEC à la FST de Tanger est le Pr. OUCHEN MOHAMED.,Chef du département TEC à la FST de Tanger.
Qui est le chef du département de Physique à la FST de Tanger?,Le chef du département de Physique à la FST de Tanger est le Pr. AJDOUR Mounia.,Chef du département de Physique à la FST de Tanger.
Quel est le chef du département de Mathématiques à la FST de Tanger?,Le chef du département de Mathématiques à la FST de Tanger est le Pr. EL HALIMI RACHID.,Chef du département de Mathématiques à la FST de Tanger.
Quels sont les responsables des différents départements à la FST de Tanger?,"Les responsables des différents départements à la FST de Tanger sont : Pr. EL BRAK Mohamed pour le Génie Informatique, Pr. CHABBI Mohamed pour le Génie Chimique, Pr. BOULAASSAL Hakim pour les Sciences de la Terre, Pr. ELAYACHI Ilham pour le Génie Mécanique, Pr. HASSANI ZERROUK Mounir pour les Sciences de la Vie, Pr. HADJ BARAKA Ibrahim pour le Génie Électrique, Pr. OUCHEN MOHAMED pour le TEC, Pr. AJDOUR Mounia pour la Physique, et Pr. EL HALIMI RACHID pour les Mathématiques.",Responsables des différents départements à la FST de Tanger.
Qui supervise les départements à la FST de Tanger?,"Les départements à la FST de Tanger sont supervisés par les professeurs suivants : Pr. EL BRAK Mohamed pour le Génie Informatique, Pr. CHABBI Mohamed pour le Génie Chimique, Pr. BOULAASSAL Hakim pour les Sciences de la Terre, Pr. ELAYACHI Ilham pour le Génie Mécanique, Pr. HASSANI ZERROUK Mounir pour les Sciences de la Vie, Pr. HADJ BARAKA Ibrahim pour le Génie Électrique, Pr. OUCHEN MOHAMED pour le TEC, Pr. AJDOUR Mounia pour la Physique, et Pr. EL HALIMI RACHID pour les Mathématiques.",Supervision des départements à la FST de Tanger.
Quelles sont les disciplines représentées par les différents départements à la FST de Tanger?,"Les différents départements à la FST de Tanger représentent les disciplines suivantes : Génie Informatique, Génie Chimique, Sciences de la Terre, Génie Mécanique, Sciences de la Vie, Génie Électrique, TEC, Physique, et Mathématiques.",Disciplines représentées par les différents départements à la FST de Tanger.
Quels domaines d'études couvrent les différents départements à la FST de Tanger?,"Les différents départements à la FST de Tanger représentent les disciplines suivantes : Génie Informatique, Génie Chimique, Sciences de la Terre, Génie Mécanique, Sciences de la Vie, Génie Électrique, TEC, Physique et Mathématiques.",Domaines d'études couverts par les différents départements à la FST de Tanger.
Quelles disciplines sont enseignées à la FST de Tanger ?,"Les disciplines enseignées à la FST de Tanger comprennent le Génie Informatique, le Génie Chimique, les Sciences de la Terre, le Génie Mécanique, les Sciences de la Vie, le Génie Électrique, le TEC, la Physique et les Mathématiques.",Disciplines enseignées à la FST de Tanger.
Quels sont les programmes académiques disponibles dans les départements de la FST de Tanger ?,"Les programmes académiques disponibles dans les départements de la FST de Tanger incluent le Génie Informatique, le Génie Chimique, les Sciences de la Terre, le Génie Mécanique, les Sciences de la Vie, le Génie Électrique, le TEC, la Physique et les Mathématiques.",Programmes académiques disponibles dans les départements de la FST de Tanger.
Quels sont les sujets d'études abordés par les départements de la FST de Tanger ?,"Les sujets d'études abordés par les départements de la FST de Tanger incluent le Génie Informatique, le Génie Chimique, les Sciences de la Terre, le Génie Mécanique, les Sciences de la Vie, le Génie Électrique, le TEC, la Physique et les Mathématiques.",Sujets d'études abordés par les départements de la FST de Tanger.
Quels sont les domaines couverts par les programmes d'études à la FST de Tanger ?,"Les domaines couverts par les programmes d'études à la FST de Tanger sont le Génie Informatique, le Génie Chimique, les Sciences de la Terre, le Génie Mécanique, les Sciences de la Vie, le Génie Électrique, le TEC, la Physique et les Mathématiques.",Domaines couverts par les programmes d'études à la FST de Tanger.
Quels sont les sujets de recherche abordés par les départements de la FST de Tanger ?,"Les sujets de recherche abordés par les départements de la FST de Tanger comprennent le Génie Informatique, le Génie Chimique, les Sciences de la Terre, le Génie Mécanique, les Sciences de la Vie, le Génie Électrique, le TEC, la Physique et les Mathématiques.",Sujets de recherche abordés par les départements de la FST de Tanger.
Qui sont les responsables des départements à la FST de Tanger ?,"Les responsables des départements à la FST de Tanger sont les professeurs suivants : Pr. EL BRAK Mohamed pour le Génie Informatique, Pr. CHABBI Mohamed pour le Génie Chimique, Pr. BOULAASSAL Hakim pour les Sciences de la Terre, Pr. ELAYACHI Ilham pour le Génie Mécanique, Pr. HASSANI ZERROUK Mounir pour les Sciences de la Vie, Pr. HADJ BARAKA Ibrahim pour le Génie Électrique, Pr. OUCHEN MOHAMED pour le TEC, Pr. AJDOUR Mounia pour la Physique, et Pr. EL HALIMI RACHID pour les Mathématiques.",Responsables des départements à la FST de Tanger.
Qui sont les chefs des différents départements à la FST de Tanger ?,"Les chefs des différents départements à la FST de Tanger sont : Pr. EL BRAK Mohamed pour le Génie Informatique, Pr. CHABBI Mohamed pour le Génie Chimique, Pr. BOULAASSAL Hakim pour les Sciences de la Terre, Pr. ELAYACHI Ilham pour le Génie Mécanique, Pr. HASSANI ZERROUK Mounir pour les Sciences de la Vie, Pr. HADJ BARAKA Ibrahim pour le Génie Électrique, Pr. OUCHEN MOHAMED pour le TEC, Pr. AJDOUR Mounia pour la Physique, et Pr. EL HALIMI RACHID pour les Mathématiques.",Chefs des différents départements à la FST de Tanger.
Qui dirige les départements à la FST de Tanger ?,"Les départements à la FST de Tanger sont dirigés par les professeurs suivants : Pr. EL BRAK Mohamed pour le Génie Informatique, Pr. CHABBI Mohamed pour le Génie Chimique, Pr. BOULAASSAL Hakim pour les Sciences de la Terre, Pr. ELAYACHI Ilham pour le Génie Mécanique, Pr. HASSANI ZERROUK Mounir pour les Sciences de la Vie, Pr. HADJ BARAKA Ibrahim pour le Génie Électrique, Pr. OUCHEN MOHAMED pour le TEC, Pr. AJDOUR Mounia pour la Physique, et Pr. EL HALIMI RACHID pour les Mathématiques.",La question porte sur les responsables des départements à la Faculté des Sciences et Techniques de Tanger.
Quels sont les responsables académiques des départements à la FST de Tanger ?,"Les responsables académiques des départements à la FST de Tanger sont les professeurs suivants : Pr. EL BRAK Mohamed pour le Génie Informatique, Pr. CHABBI Mohamed pour le Génie Chimique, Pr. BOULAASSAL Hakim pour les Sciences de la Terre, Pr. ELAYACHI Ilham pour le Génie Mécanique, Pr. HASSANI ZERROUK Mounir pour les Sciences de la Vie, Pr. HADJ BARAKA Ibrahim pour le Génie Électrique, Pr. OUCHEN MOHAMED pour le TEC, Pr. AJDOUR Mounia pour la Physique, et Pr. EL HALIMI RACHID pour les Mathématiques.",La question porte sur les responsables académiques des différents départements de la Faculté des Sciences et Techniques de Tanger.
Quel est le contact de la FST de Tanger?,Vous pouvez contacter la FST de Tanger par téléphone au +212 (0) 5 39 39 39 54 / 55 ou par email à administration.fstt@uae.ac.ma.,La question concerne les coordonnées de contact de la Faculté des Sciences et Techniques de Tanger.
Quel est le numéro de téléphone de la FST de Tanger ?,Vous pouvez contacter la FST de Tanger par téléphone au +212 (0) 5 39 39 39 54 / 55 ou par email à administration.fstt@uae.ac.ma.,La question porte spécifiquement sur le numéro de téléphone de la Faculté des Sciences et Techniques de Tanger.
Comment puis-je contacter la FST de Tanger par téléphone ?,Vous pouvez contacter la FST de Tanger par téléphone au +212 (0) 5 39 39 39 54 / 55 ou par email à administration.fstt@uae.ac.ma.,La question concerne la manière de joindre par téléphone la Faculté des Sciences et Techniques de Tanger.
Quelle est l'adresse e-mail de contact de la FST de Tanger ?,Vous pouvez contacter la FST de Tanger par téléphone au +212 (0) 5 39 39 39 54 / 55 ou par email à administration.fstt@uae.ac.ma.,La question porte sur l'adresse email de contact de la Faculté des Sciences et Techniques de Tanger.
Comment puis-je contacter la FST de Tanger par e-mail ?,Vous pouvez contacter la FST de Tanger par téléphone au +212 (0) 5 39 39 39 54 / 55 ou par email à administration.fstt@uae.ac.ma.,La question concerne la manière de joindre par email la Faculté des Sciences et Techniques de Tanger.
Pouvez-vous me donner les coordonnées de la FST de Tanger ?,Vous pouvez contacter la FST de Tanger par téléphone au +212 (0) 5 39 39 39 54 / 55 ou par email à administration.fstt@uae.ac.ma.,La demande porte sur les différentes coordonnées pour contacter la Faculté des Sciences et Techniques de Tanger.
Quels sont les moyens de communication avec la FST de Tanger ?,Vous pouvez contacter la FST de Tanger par téléphone au +212 (0) 5 39 39 39 54 / 55 ou par email à administration.fstt@uae.ac.ma.,La question s'intéresse aux différents canaux pour communiquer avec la Faculté des Sciences et Techniques de Tanger.
Comment puis-je joindre l'administration de la FST de Tanger ?,Vous pouvez contacter la FST de Tanger par téléphone au +212 (0) 5 39 39 39 54 / 55 ou par email à administration.fstt@uae.ac.ma.,La demande concerne spécifiquement les moyens de joindre l'administration de la Faculté des Sciences et Techniques de Tanger.
Où puis-je trouver les informations de contact de la FST de Tanger ?,Vous pouvez contacter la FST de Tanger par téléphone au +212 (0) 5 39 39 39 54 / 55 ou par email à administration.fstt@uae.ac.ma.,La question porte sur l'endroit où l'on peut trouver les coordonnées de la Faculté des Sciences et Techniques de Tanger.
Quelle est la manière la plus rapide de contacter la FST de Tanger ?,Vous pouvez contacter la FST de Tanger par téléphone au +212 (0) 5 39 39 39 54 / 55 ou par email à administration.fstt@uae.ac.ma.,La demande concerne le moyen le plus rapide pour contacter la Faculté des Sciences et Techniques de Tanger.
Comment puis-je obtenir des informations sur la FST de Tanger ?,Vous pouvez contacter la FST de Tanger par téléphone au +212 (0) 5 39 39 39 54 / 55 ou par email à administration.fstt@uae.ac.ma.,La question porte sur les moyens d'obtenir des informations concernant la Faculté des Sciences et Techniques de Tanger.
Quel est le mot du doyen de la FST de Tanger?,"Le monde d'aujourd'hui connait des évolutions majeures et complexes caractérisées par la globalisation des échanges et l'intensification de la concurrence. [...] Enfin, la FST de Tanger, mérite toute notre engagement et nous mettrons toute notre énergie, notre expérience, notre volonté d'agir et notre temps à son service, pour qu'elle soit un établissement d'excellence ouvert sur son environnement socio-économique et visible à l'échelle nationale et internationale.",La question demande le discours du doyen de la Faculté des Sciences et Techniques de Tanger exposant sa vision pour l'établissement.
Pouvez-vous me donner un aperçu des priorités de développement de la FST de Tanger ?,Le monde d'aujourd'hui connait des évolutions majeures et complexes caractérisées par la globalisation des échanges et l'intensification de la concurrence. [...] Concrètement notre projet de développement de l'établissement a pour objectifs principaux : [...] ,La demande porte sur un résumé des principales priorités du plan de développement de la Faculté des Sciences et Techniques de Tanger présenté par le doyen.
Quels sont les objectifs du projet de développement de la FST de Tanger ?,Le monde d'aujourd'hui connait des évolutions majeures et complexes caractérisées par la globalisation des échanges et l'intensification de la concurrence. [...] Concrètement notre projet de développement de l'établissement a pour objectifs principaux : [...] ,La question demande explicitement les objectifs poursuivis par le projet de développement de la Faculté des Sciences et Techniques de Tanger.
Quels sont les axes de développement de la FST de Tanger selon le doyen ?,Le monde d'aujourd'hui connait des évolutions majeures et complexes caractérisées par la globalisation des échanges et l'intensification de la concurrence. [...] Concrètement notre projet de développement de l'établissement a pour objectifs principaux : [...] ,La demande concerne les axes de développement majeurs de la Faculté des Sciences et Techniques de Tanger définis par le doyen.
Quelle est la mission de la FST de Tanger selon son doyen ?,Le monde d'aujourd'hui connait des évolutions majeures et complexes caractérisées par la globalisation des échanges et l'intensification de la concurrence. [...] Notre projet de développement de la FST de Tanger est conscient du rôle que doit jouer cette dernière dans le développement socio-économique régional et national où elle ne doit plus se contenter d'assurer seulement ses missions classiques de formations générales scientifiques et techniques. Elle doit aussi étendre son rôle à l'éducation citoyenne [...],La question porte sur la mission que le doyen assigne à la Faculté des Sciences et Techniques de Tanger.
Comment la FST de Tanger envisage-t-elle d'améliorer son offre de formation ?,"Le monde d'aujourd'hui connait des évolutions majeures et complexes caractérisées par la globalisation des échanges et l'intensification de la concurrence. [...] Concrètement notre projet de développement de l'établissement a pour objectifs principaux :– Développer une offre de formation innovante, diversifiée et qui répond aux attentes des étudiants et aux besoins du secteur socio-économique.",La demande concerne les plans de la Faculté des Sciences et Techniques de Tanger pour améliorer et moderniser son offre de formation.
Quelle est la vision du doyen de la FST de Tanger ?,"Le monde d'aujourd'hui connait des évolutions majeures et complexes caractérisées par la globalisation des échanges et l'intensification de la concurrence. [...] Partant des orientations du Nouveau Modèle de Développement, de la stratégie nationale 2015-2030 et du projet de développement de l'université, notre ambition pour cet établissement est d'en faire une institution attractive, performante, citoyenne et une locomotive du développement socio-économique de la région Tanger Tétouan Al Hoceima.",La question demande quelle est la vision d'avenir et les ambitions du doyen pour la Faculté des Sciences et Techniques de Tanger.
Qui gère la Faculté des Sciences et Techniques de Tanger (FSTT)?,La Faculté des Sciences et Techniques de Tanger est gérée par un conseil d'établissement présidé par le Doyen DIANI Mustapha.,La question porte sur l'instance dirigeante responsable de la gestion de la Faculté des Sciences et Techniques de Tanger.
Quelle entité est responsable de la gestion de la Faculté des Sciences et Techniques de Tanger (FSTT) ?,La Faculté des Sciences et Techniques de Tanger est gérée par un conseil d'établissement présidé par le Doyen DIANI Mustapha.,La demande vise à identifier l'organe en charge de la gestion de la Faculté des Sciences et Techniques de Tanger.
Qui préside le conseil d'établissement de la FSTT ?,La Faculté des Sciences et Techniques de Tanger est gérée par un conseil d'établissement présidé par le Doyen DIANI Mustapha.,La question porte spécifiquement sur le président du conseil d'établissement de la Faculté des Sciences et Techniques de Tanger.
Quelle est l'autorité suprême à la FSTT ?,La Faculté des Sciences et Techniques de Tanger est gérée par un conseil d'établissement présidé par le Doyen DIANI Mustapha.,La demande vise à identifier la plus haute autorité dirigeante de la Faculté des Sciences et Techniques de Tanger.
Qui dirige les opérations à la FSTT ?,La Faculté des Sciences et Techniques de Tanger est gérée par un conseil d'établissement présidé par le Doyen DIANI Mustapha.,La question cherche à savoir qui est responsable de la direction opérationnelle de la Faculté des Sciences et Techniques de Tanger.
Qui est en charge de l'administration à la FSTT ?,La Faculté des Sciences et Techniques de Tanger est gérée par un conseil d'établissement présidé par le Doyen DIANI Mustapha.,La question porte sur l'entité responsable de la gestion administrative de la Faculté des Sciences et Techniques de Tanger.
Qui supervise les activités à la FSTT ?,La Faculté des Sciences et Techniques de Tanger est gérée par un conseil d'établissement présidé par le Doyen DIANI Mustapha.,La demande concerne l'instance de supervision des différentes activités au sein de la Faculté des Sciences et Techniques de Tanger.
Qui est le responsable de la prise de décision à la FSTT ?,La Faculté des Sciences et Techniques de Tanger est gérée par un conseil d'établissement présidé par le Doyen DIANI Mustapha.,La question porte sur l'autorité décisionnelle à la Faculté des Sciences et Techniques de Tanger.
Qui représente l'autorité à la FSTT ?,La Faculté des Sciences et Techniques de Tanger est gérée par un conseil d'établissement présidé par le Doyen DIANI Mustapha.,La demande vise à identifier l'instance représentant l'autorité suprême au sein de la Faculté des Sciences et Techniques de Tanger.
Qui assure la direction stratégique de la FSTT ?,La Faculté des Sciences et Techniques de Tanger est gérée par un conseil d'établissement présidé par le Doyen DIANI Mustapha.,La question concerne l'entité responsable de la direction stratégique de la Faculté des Sciences et Techniques de Tanger.
Qui préside les réunions du conseil d'établissement à la FSTT ?,La Faculté des Sciences et Techniques de Tanger est gérée par un conseil d'établissement présidé par le Doyen DIANI Mustapha.,La demande porte spécifiquement sur le président des réunions du conseil d'établissement de la Faculté des Sciences et Techniques de Tanger.
Qui sont les membres du conseil de l'établissement à la FST de Tanger ?,"Les membres du conseil de l'établissement à la FST de Tanger comprennent le Doyen, le Vice Doyen de la Formation, le Vice Doyen de la Recherche et de la coopération, le Secrétaire Général chargé du secrétariat du conseil, les Chefs de département, ainsi que des représentants des personnels enseignants, administratifs et techniques, et des étudiants.",La question demande la composition du conseil d'établissement de la Faculté des Sciences et Techniques de Tanger.
Quelles sont les personnes impliquées dans la prise de décisions à la FST de Tanger ?,"Les membres du conseil de l'établissement à la FST de Tanger comprennent le Doyen, le Vice Doyen de la Formation, le Vice Doyen de la Recherche et de la coopération, le Secrétaire Général chargé du secrétariat du conseil, les Chefs de département, ainsi que des représentants des personnels enseignants, administratifs et techniques, et des étudiants.",La demande vise à identifier les personnes participant au processus décisionnel au sein de la Faculté des Sciences et Techniques de Tanger.
Qui participe aux réunions importantes à la FST de Tanger ?,"Les membres du conseil de l'établissement à la FST de Tanger comprennent le Doyen, le Vice Doyen de la Formation, le Vice Doyen de la Recherche et de la coopération, le Secrétaire Général chargé du secrétariat du conseil, les Chefs de département, ainsi que des représentants des personnels enseignants, administratifs et techniques, et des étudiants.",La question porte sur les participants aux réunions de haut niveau à la Faculté des Sciences et Techniques de Tanger.
Qui est impliqué dans la gouvernance de la FST de Tanger ?,"Les membres du conseil de l'établissement à la FST de Tanger comprennent le Doyen, le Vice Doyen de la Formation, le Vice Doyen de la Recherche et de la coopération, le Secrétaire Général chargé du secrétariat du conseil, les Chefs de département, ainsi que des représentants des personnels enseignants, administratifs et techniques, et des étudiants.",La demande concerne les parties prenantes impliquées dans la gouvernance de la Faculté des Sciences et Techniques de Tanger.
Quels sont les rôles principaux au sein de la FST de Tanger ?,"Les membres du conseil de l'établissement à la FST de Tanger comprennent le Doyen, le Vice Doyen de la Formation, le Vice Doyen de la Recherche et de la coopération, le Secrétaire Général chargé du secrétariat du conseil, les Chefs de département, ainsi que des représentants des personnels enseignants, administratifs et techniques, et des étudiants.",La question porte sur les principaux rôles et fonctions au sein de la Faculté des Sciences et Techniques de Tanger.
